Group,Female,Hsgpa,ACT,SAT,Sem1gpa,Alg_A,Alg_DFW,CAT_pre,CAT_post,CAT_delta,ENGR_persist,INST_persist,On_Track_2,On_Track_3,On_Track_4,No_Math_4
Control,1,3.46,24,,3.6667,1,0,,,,1,1,1,1,1,0
Control,0,3.48,22,,,0,1,,,,0,0,0,0,0,1
Control,0,3.11,24,,1.8615,0,0,,,,0,0,1,0,0,1
Control,0,2.6,25,,1.9286,0,0,,,,0,1,1,0,0,0
Control,0,3.55,25,,3.5714,1,0,,,,1,1,1,1,1,0
Control,0,2.92,24,,2.2,0,0,,,,1,1,1,1,1,0
Control,0,3.36,23,,3.2941,0,0,,,,1,1,1,1,1,0
Control,0,2.93,,,,0,1,,,,0,0,0,0,0,1
Control,0,3.46,,,2.5,0,0,,,,0,0,1,1,0,1
Control,0,3.85,24,,3.3333,0,0,,,,1,1,1,1,1,0
Control,0,3.96,25,480,3.8667,1,0,,,,1,1,1,1,1,0
Control,1,4.02,22,,3.5714,0,0,,,,1,1,1,1,1,0
Control,0,3.78,25,,3.9333,1,0,,,,1,1,1,1,1,0
Control,0,2.89,24,450,1.9286,0,1,,,,1,1,0,0,0,0
Control,1,3.57,24,,2.4667,0,0,,,,1,1,1,1,1,0
Control,1,4.61,25,,3.963,1,0,,,,1,1,1,1,1,0
Control,0,3,21,,3.0769,0,0,,,,0,1,1,0,0,0
Control,0,3,,550,2.8,0,0,,,,0,1,1,0,0,1
Control,0,3.31,22,,2.9286,0,0,,,,1,1,1,1,0,0
Control,0,3.97,25,,2.7857,0,0,,,,0,0,1,0,0,1
Control,0,3.77,24,,3.0714,1,0,,,,1,1,1,1,1,0
Control,1,4.14,23,,3.6296,0,0,,,,1,1,1,1,1,0
Control,0,3.59,25,,3.2,1,0,,,,1,1,1,1,1,0
Control,0,2.85,,,,0,1,,,,0,1,0,0,1,1
Control,1,3.29,23,,,0,1,,,,0,0,0,0,0,1
Control,0,3.7,,,2,0,1,,,,0,1,0,0,0,1
Control,0,2.82,22,,0.9091,0,1,,,,0,0,0,0,0,1
Control,0,3.75,24,,3.3333,0,0,,,,1,1,1,1,1,0
Control,0,3.71,24,,,0,1,,,,0,0,0,0,0,1
Control,1,4.64,,,3.6818,1,0,,,,1,1,1,1,1,0
Control,0,2.65,,,1.3846,0,1,,,,0,1,0,0,0,0
Control,0,3.31,,,1.1538,0,0,,,,0,0,1,0,0,1
Control,0,3.06,23,,1.5714,0,1,,,,0,1,0,0,0,1
Control,0,4.02,25,,2.4,0,0,,,,0,1,1,0,0,0
Control,0,3.57,22,,2.4667,0,0,,,,0,1,1,1,0,1
Control,0,3.2,,,2.4286,0,0,,,,0,0,1,0,0,1
Control,0,3.58,,560,3,1,0,,,,1,1,1,1,1,0
Control,0,3.5,25,,3.1905,0,0,,,,0,0,1,0,0,1
Control,0,3.13,,,2.875,1,0,,,,1,1,1,1,1,0
Control,0,2.29,24,,1.9286,0,1,,,,0,0,0,0,0,1
Control,1,3.18,,,,0,0,,,,0,0,0,0,0,1
Control,1,4.03,25,,3.7143,1,0,,,,0,1,1,1,0,1
Control,0,3.57,,,3.2,1,0,,,,1,1,1,1,1,0
Control,0,2.91,,,2.2143,0,1,,,,0,0,0,0,0,1
Control,0,4.26,24,,3.1724,0,0,,,,1,1,1,1,1,0
Control,0,2.89,,,2.2857,0,0,,,,0,1,1,0,0,0
Control,1,4.2,22,,,0,1,,,,0,0,0,0,0,1
Control,0,4.02,24,,,1,0,,,,0,1,1,0,0,1
Control,0,3.84,23,,2.5,0,0,,,,0,1,1,0,0,1
Control,1,2.45,,,3.125,1,0,,,,1,1,1,1,1,0
